address,full_address,Latitude,Longitude
309 ANG MO KIO AVE 1 SINGAPORE,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3645119,103.8420761
216 ANG MO KIO AVE 1 SINGAPORE,"216, Ang Mo Kio Avenue 1, Ang Mo Kio Grove, Ang Mo Kio, Singapore, Central, 560216, Singapore",1.3662088,103.84147646858604
211 ANG MO KIO AVE 3 SINGAPORE,"211, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560211, Singapore",1.3692054,103.84171917137255
202 ANG MO KIO AVE 3 SINGAPORE,"202, Ang Mo Kio Avenue 3, Ang Mo Kio View, Ang Mo Kio, Singapore, Central, 560202, Singapore",1.36846115,103.84451547771923
235 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560235, Singapore",1.3673019,103.8359231
232 ANG MO KIO AVE 3 SINGAPORE,"Boon Tong Kee, 232, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560232, Singapore",1.3686244,103.8369567
308 ANG MO KIO AVE 1 SINGAPORE,"308C, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 563308, Singapore",1.3656059,103.8447736
220 ANG MO KIO AVE 1 SINGAPORE,"220, Ang Mo Kio Avenue 1, Ang Mo Kio Grove, Ang Mo Kio, Singapore, Central, 560220, Singapore",1.36559725,103.84052766655125
219 ANG MO KIO AVE 1 SINGAPORE,"219, Ang Mo Kio Avenue 1, Ang Mo Kio Grove, Ang Mo Kio, Singapore, Central, 560219, Singapore",1.3659903,103.84064706999999
247 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
320 ANG MO KIO AVE 1 SINGAPORE,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3645119,103.8420761
252 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
223 ANG MO KIO AVE 1 SINGAPORE,"223, Ang Mo Kio Avenue 1, Ang Mo Kio Grove, Ang Mo Kio, Singapore, Central, 560223, Singapore",1.3661227999999999,103.83798211624232
230 ANG MO KIO AVE 3 SINGAPORE,"230, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560230, Singapore",1.36884585,103.8379051513374
329 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
313 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
117 ANG MO KIO AVE 4 SINGAPORE,"117, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 569897, Singapore",1.3737864499999999,103.83552337995374
110 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
343 ANG MO KIO AVE 3 SINGAPORE,"343, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560343, Singapore",1.36841355,103.84915039612844
345 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
346 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
121 ANG MO KIO AVE 3 SINGAPORE,"121, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560121, Singapore",1.3699257999999999,103.8439568514047
129 ANG MO KIO AVE 3 SINGAPORE,"129, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560129, Singapore",1.3700860499999998,103.84248556135907
130 ANG MO KIO AVE 3 SINGAPORE,"130, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560130, Singapore",1.37037985,103.8418901232265
128 ANG MO KIO AVE 3 SINGAPORE,"E-link Sports, 128, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560128, Singapore",1.3708125,103.8435558
127 ANG MO KIO AVE 3 SINGAPORE,"127, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560127, Singapore",1.3712256,103.84360807465805
126 ANG MO KIO AVE 3 SINGAPORE,"126, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560126, Singapore",1.3716605,103.84365627465803
403 ANG MO KIO AVE 10 SINGAPORE,"403, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560403, Singapore",1.3613070500000002,103.85457173862903
404 ANG MO KIO AVE 10 SINGAPORE,"404, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560407, Singapore",1.3616625500000001,103.85477972903323
405 ANG MO KIO AVE 10 SINGAPORE,"405, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560405, Singapore",1.3615894,103.85376988347079
417 ANG MO KIO AVE 10 SINGAPORE,"417, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560417, Singapore",1.3649643500000002,103.85520591304936
418 ANG MO KIO AVE 10 SINGAPORE,"418, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560418, Singapore",1.36496055,103.85404460496275
419 ANG MO KIO AVE 10 SINGAPORE,"419, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560419, Singapore",1.3653542500000002,103.85414666381953
441 ANG MO KIO AVE 10 SINGAPORE,"441, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560441, Singapore",1.3660604,103.85414159512987
442 ANG MO KIO AVE 10 SINGAPORE,"442, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560442, Singapore",1.3656538999999999,103.85526058802556
443 ANG MO KIO AVE 10 SINGAPORE,"443, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560443, Singapore",1.36604965,103.85533986309922
444 ANG MO KIO AVE 10 SINGAPORE,"444, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560444, Singapore",1.3666067000000002,103.85560295709745
450 ANG MO KIO AVE 10 SINGAPORE,"450, Ang Mo Kio Avenue 10, Chong Boon Centre, Ang Mo Kio, Singapore, Central, 560450, Singapore",1.36848945,103.85547884390664
435 ANG MO KIO AVE 10 SINGAPORE,"435, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560435, Singapore",1.3676957,103.85422938005833
433 ANG MO KIO AVE 10 SINGAPORE,"433, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560433, Singapore",1.36808575,103.85433288303888
434 ANG MO KIO AVE 10 SINGAPORE,"434, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560434, Singapore",1.3679009500000001,103.85345464052526
424 ANG MO KIO AVE 3 SINGAPORE,"424, Ang Mo Kio Avenue 3, Chong Boon View, Ang Mo Kio, Singapore, Central, 560424, Singapore",1.368603,103.85082026935956
425 ANG MO KIO AVE 3 SINGAPORE,"425, Ang Mo Kio Avenue 3, Chong Boon View, Ang Mo Kio, Singapore, Central, 560425, Singapore",1.3691198,103.85153935638111
466 ANG MO KIO AVE 10 SINGAPORE,"466, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560466, Singapore",1.36581515,103.85710076709108
471 ANG MO KIO AVE 10 SINGAPORE,"471, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560471, Singapore",1.3635153500000001,103.8567036832668
474 ANG MO KIO AVE 10 SINGAPORE,"474, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560474, Singapore",1.3627691,103.85800778173828
570 ANG MO KIO AVE 3 SINGAPORE,"570, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560570, Singapore",1.3699069000000001,103.85557041701031
586 ANG MO KIO AVE 3 SINGAPORE,"586, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560586, Singapore",1.37028155,103.85346240040485
455 ANG MO KIO AVE 10 SINGAPORE,"455, Ang Mo Kio Avenue 10, Teck Ghee Parkview, Ang Mo Kio, Singapore, Central, 560455, Singapore",1.3686668,103.85729787379776
465 ANG MO KIO AVE 10 SINGAPORE,"465, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560465, Singapore",1.3662228,103.85717530845224
463 ANG MO KIO AVE 10 SINGAPORE,"463, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560463, Singapore",1.36676925,103.85766861690962
564 ANG MO KIO AVE 3 SINGAPORE,"564, Ang Mo Kio Avenue 3, Cheng San Place, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3698918500000001,103.85943216489414
560 ANG MO KIO AVE 10 SINGAPORE,"560, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560560, Singapore",1.3707993,103.85919120619337
558 ANG MO KIO AVE 10 SINGAPORE,"558, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560558, Singapore",1.37127495,103.8591842845461
559 ANG MO KIO AVE 10 SINGAPORE,"559, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560559, Singapore",1.37103165,103.8578528839324
538 ANG MO KIO AVE 5 SINGAPORE,"538, Ang Mo Kio Avenue 5, Cheng San View, Ang Mo Kio, Singapore, Central, 560538, Singapore",1.3753714,103.85369875711666
534 ANG MO KIO AVE 10 SINGAPORE,"534, Ang Mo Kio Avenue 10, Cheng San View, Ang Mo Kio, Singapore, Central, 560534, Singapore",1.3741543,103.85380151282592
601 ANG MO KIO AVE 5 SINGAPORE,"601, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560601, Singapore",1.3809870000000002,103.83507554303799
603 ANG MO KIO AVE 5 SINGAPORE,"603, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.3801792,103.83575158255286
604 ANG MO KIO AVE 5 SINGAPORE,"604, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.3798723499999999,103.83597481288359
608 ANG MO KIO AVE 5 SINGAPORE,"608, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.37873095,103.83694926889964
611 ANG MO KIO AVE 5 SINGAPORE,"611, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.3783059999999998,103.83725604606919
505 ANG MO KIO AVE 8 SINGAPORE,"505, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560505, Singapore",1.3748722,103.8503768
503 ANG MO KIO AVE 5 SINGAPORE,"503, Ang Mo Kio Avenue 5, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560503, Singapore",1.37545765,103.84888911809797
610 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
607 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
524 ANG MO KIO AVE 5 SINGAPORE,"524, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 560524, Singapore",1.37337485,103.85304714560839
513 ANG MO KIO AVE 8 SINGAPORE,"513, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560513, Singapore",1.37293705,103.85037044402091
643 ANG MO KIO AVE 5 SINGAPORE,"Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.37703,103.8383289
542 ANG MO KIO AVE 10 SINGAPORE,"542, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560542, Singapore",1.37474125,103.85586670489434
548 ANG MO KIO AVE 10 SINGAPORE,"548, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560548, Singapore",1.3729208499999999,103.85705654606744
550 ANG MO KIO AVE 10 SINGAPORE,"550, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560550, Singapore",1.37362165,103.85822445508937
639 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
637 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
330 ANG MO KIO AVE 1 SINGAPORE,"Soon Hock Store, 330, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560330, Singapore",1.3625772,103.8508679
333 ANG MO KIO AVE 1 SINGAPORE,"333, Ang Mo Kio Avenue 1, Marymount, Bishan, Singapore, Central, 560333, Singapore",1.3613534500000002,103.85168816395225
156 ANG MO KIO AVE 4 SINGAPORE,"156, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",1.3755022499999998,103.83995684140612
152 ANG MO KIO AVE 5 SINGAPORE,"152, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",1.3766775500000001,103.84016711967655
178 ANG MO KIO AVE 4 SINGAPORE,"178, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 569898, Singapore",1.3763809,103.83682141001981
180 ANG MO KIO AVE 5 SINGAPORE,"SAC centre, 180, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.3767146,103.8385975
209 ANG MO KIO AVE 3 SINGAPORE,"209, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560209, Singapore",1.3689767000000002,103.84327080036569
231 ANG MO KIO AVE 3 SINGAPORE,"231, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560231, Singapore",1.36857275,103.83751203839944
254 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
103 ANG MO KIO AVE 3 SINGAPORE,"Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.3694176,103.8604291
105 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766
344 ANG MO KIO AVE 3 SINGAPORE,"344, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560344, Singapore",1.367981,103.84926185974227
324 ANG MO KIO AVE 3 SINGAPORE,"324, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560324, Singapore",1.36833675,103.84687972133113
120 ANG MO KIO AVE 3 SINGAPORE,"120, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560120, Singapore",1.37006085,103.84460024349187
124 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
414 ANG MO KIO AVE 10 SINGAPORE,"414, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560414, Singapore",1.3639471,103.85385131223782
438 ANG MO KIO AVE 10 SINGAPORE,"Times Experience, 438, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 569619, Singapore",1.3594572,103.8558638
427 ANG MO KIO AVE 3 SINGAPORE,"427, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560427, Singapore",1.3693258,103.85455319325796
428 ANG MO KIO AVE 3 SINGAPORE,"428, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560428, Singapore",1.36894055,103.85441145733841
473 ANG MO KIO AVE 10 SINGAPORE,"473, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560473, Singapore",1.3630371000000001,103.85685136006057
573 ANG MO KIO AVE 3 SINGAPORE,"573, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560573, Singapore",1.3705693,103.85481250019535
585 ANG MO KIO AVE 3 SINGAPORE,"585, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560585, Singapore",1.37060475,103.85233152578125
456 ANG MO KIO AVE 10 SINGAPORE,"456A, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561456, Singapore",1.36780715,103.85812389124425
544 ANG MO KIO AVE 10 SINGAPORE,"544, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560544, Singapore",1.3739552000000002,103.85645547927548
640 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
638 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
646 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669
150 ANG MO KIO AVE 5 SINGAPORE,"150, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 569878, Singapore",1.3767776999999999,103.84201139498651
179 ANG MO KIO AVE 5 SINGAPORE,"Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.37703,103.8383289
336 ANG MO KIO AVE 1 SINGAPORE,"336, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560336, Singapore",1.3636141,103.85179825
335 ANG MO KIO AVE 1 SINGAPORE,"335, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560335, Singapore",1.3632786499999998,103.85062951191776
401 ANG MO KIO AVE 10 SINGAPORE,"401, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560401, Singapore",1.3610272,103.85538973628039
439 ANG MO KIO AVE 10 SINGAPORE,"439, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560439, Singapore",1.3663031,103.85349591975684
430 ANG MO KIO AVE 3 SINGAPORE,"430, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560430, Singapore",1.3689985,103.8527638315924
460 ANG MO KIO AVE 10 SINGAPORE,"460A, Ang Mo Kio Avenue 10, Teck Ghee Grandeur, Ang Mo Kio, Singapore, Central, 561460, Singapore",1.36661685,103.85897062491296
459 ANG MO KIO AVE 10 SINGAPORE,"459, Ang Mo Kio Avenue 10, Teck Ghee Grandeur, Ang Mo Kio, Singapore, Central, 560459, Singapore",1.36702765,103.85938167517668
716 ANG MO KIO AVE 6 SINGAPORE,"716, Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 560716, Singapore",1.37148765,103.84586579511719
545 ANG MO KIO AVE 10 SINGAPORE,"545, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560545, Singapore",1.37318985,103.8562915008488
620 ANG MO KIO AVE 9 SINGAPORE,"Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3837038,103.8411595
622 ANG MO KIO AVE 9 SINGAPORE,"622, Ang Mo Kio Avenue 9, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3817737499999998,103.83979812792043
