MRT,Building,Latitude,Longitude
Jurong East MRT Station,JURONG EAST MRT STATION (EW24 / NS1),1.33315281585758,103.742286332403
Bukit Batok MRT Station,BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309
Bukit Gombak MRT Station,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733
Choa Chu Kang MRT Station,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756
Yew Tee MRT Station,YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236
Kranji MRT Station,KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497
Marsiling MRT Station,MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403
Woodlands MRT Station,WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173
Admiralty MRT Station,ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771
Sembawang MRT Station,SEMBAWANG MRT STATION (NS11),1.44905082158502,103.820046140211
Canberra MRT Station,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
Yishun MRT Station,YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246
Khatib MRT Station,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243
Yio Chu Kang MRT Station,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118
Ang Mo Kio MRT Station,ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
Bishan MRT Station,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532
Braddell MRT Station,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148
Toa Payoh MRT Station,TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048
Novena MRT Station,NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748
Newton MRT Station,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021
Orchard MRT Station,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Somerset MRT Station,SOMERSET MRT STATION (NS23),1.30026416739006,103.839085753124
Dhoby Ghaut MRT Station,DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696
City Hall MRT Station,CITY HALL MRT STATION,1.29298990700923,103.852542630339
Raffles Place MRT Station,RAFFLES PLACE MRT STATION,1.28393326234538,103.851463066212
Marina Bay MRT Station,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
Marina South Pier MRT Station,MARINA SOUTH PIER MRT STATION (NS28),1.27102703612006,103.862447515736
Pasir Ris MRT Station,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763
Tampines MRT Station,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222
Simei MRT Station,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378
Tanah Merah MRT Station,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798
Bedok MRT Station,SUNGEI BEDOK MRT STATION (TE31 / DT37),1.32040148729112,103.957183823478
Kembangan MRT Station,KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851
Eunos MRT Station,EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255
Paya Lebar MRT Station,PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884
Aljunied MRT Station,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385
Kallang MRT Station,KALLANG MRT STATION (EW10),1.31148890998818,103.871386541754
Lavender MRT Station,LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888
Bugis MRT Station,BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933
Tanjong Pagar MRT Station,TANJONG PAGAR MRT STATION (EW15),1.27656131737246,103.845725186759
